document_id,clean_text,sentiment
0,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
1,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
2,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
3,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
4,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
5,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
6,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
7,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
8,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
9,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
10,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
11,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
12,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
13,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
14,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
15,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
16,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
17,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
18,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
19,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
20,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
21,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
22,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
23,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
24,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
25,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
26,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
27,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
28,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
29,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
30,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
31,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
32,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
33,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
34,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
35,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
36,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
37,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
38,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
39,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
40,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
41,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
42,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
43,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
44,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
45,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
46,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
47,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
48,bnewli built wuhan coronaviru hospit amazingnnhttpstcohzdoqadgoinnwuhancoronoviru coronoviru,positive
49,bchines author misreport coronaviru deathsnnhttpstcozqeyorcwxlnncoronaviru wuhancoronoviru httpstcokqenfpkckm,negative
50,bover coronaviru infect china hastili buri dead mass gravesnnhttpstcogkwacyitrxexxa httpstcomjjtatekoo,neutral
