document_id,clean_text,sentiment
0,bwho drtedro resignnl dec wechat group publish presenc sarslik virusnjan china tell whoxexxa httpstcoaacuuwjmk,neutral
1,bsenatorhagerti wuhancoronaviru spread world thank who help ccp ccp concealxexxa httpstcoyphehfn,positive
2,bjuliensorel chainhomotopi thelogankyl busi xfxfxx dude sad i told one hashtag wuhancoronaviru,neutral
3,bdrmadej i encourag everyon get vaccin necessari consid care potentixexxa httpstcowzlpvsa,positive
4,bchainhomotopi juliensorel thelogankyl busi xfxfxx seem guy donxexxt get i told guy alreadyxexxa httpstcowlkphh,neutral
5,bthe end week reduc burden alleg viru american hospit week overduexexxa httpstcouyvobizhh,negative
6,bdelglenndavi the two week suppos end one year ago now told ostracizedxexxa httpstcokyiaqtsxh,negative
7,bglobaltimesnew xexxctechn testsxexxd xfxfxxxfxfxxxfxfxx yup sure plea cooper cure diseas mind ccp plaxexxa httpstcoikyzxvwxfq,positive
8,bjuliensorel chainhomotopi thelogankyl busi you guy still go shit xfxfxaxaxfxfxfxbbxexxdxexxxefxbxfxfxfxx look guy atxexxa httpstcoulhzitetn,neutral
9,bwsj wsjopinion wuhancoronaviru spread world thank who help ccp ccp conceaxexxa httpstcorfjudajaqc,negative
10,bsenjoniernst who siouxlandnew wuhancoronaviru spread world thank who help toxexxa httpstcogdiqpmbvzq,negative
11,byahoonew onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp now hk ixexxa httpstcoorsiawyum,negative
12,btriciayeoh we want live perfect world perfect situat smooth sail without wuhancoronaviru wherxexxa httpstcoqfunhiljgl,positive
13,bdavidaltonhl proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryedxexxa httpstcoxzafpi,positive
14,bspeakerpelosi proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryexexxa httpstcoqdagtewef,positive
15,bguardianau proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryedxexxa httpstcomnbvmogod,positive
16,bchannelnewsasia proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destorxexxa httpstcolttth,positive
17,bnikkeiasia proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destori bxexxa httpstcompscajzefh,positive
18,bmin proud onecountrytwosystemsisdeadnth rule law freedom democraci hk destori byxexxa httpstcobrfcbzcw,positive
19,bguardianworld onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp nowxexxa httpstcodduwbwgsb,positive
20,bindepend onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp now hkxexxa httpstcovymfuulqm,positive
21,bfreedomhous onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp now hxexxa httpstcodqjzbadkrk,positive
22,bfinancialtim onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp nowxexxa httpstcofgktavfm,positive
23,bfinancialtim thank much onecountrytwosystemsisdeadnth rule law freedom democraci hk desxexxa httpstcoqwetxfsgp,positive
24,breuter onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp now hk isxexxa httpstcoizhynmfu,positive
25,bipacglob thank much onecountrytwosystemsisdeadnth rule law freedom democraci hk destoryxexxa httpstcoesgwbji,positive
26,bnadiawhittomemp onecountrytwosystemsisdeadnth rule law freedom democraci hk destori ccp noxexxa httpstcozsjuhfwgm,positive
27,beasiamediahub thank much onecountrytwosystemsisdeadnth rule law freedom democraci hk destxexxa httpstcobcpvtebm,positive
